Edge
Fuck this paper bullshit,1,3,1,1,1,1,1,1,1
"If you are feeling perturbed about women that aren't humble, kindly go set yourself on fire.",1,3,5,1,1,1,3,1,1
I'm done - won't bother with the rest of this pathetic shit show,1,3,3,1,1,1,1,1,1
Colin u r kidding - you are so lame - those comments were so made up ,1,3,3,1,1,1,1,1,1
"The Jews of Khybar lived in Khybar, far from Medina.",1,1,1,1,1,5,1,1,3
"as gamergate has repeatedly proven, linking a URL doesn't mean shit for comprehension",1,1,1,1,1,1,1,1,1
" ""Women feel guilty when they are attacked"" - scary but true, and not just in tech.",1,1,1,1,1,3,1,1,3
I am so fucking stupid,1,3,3,1,1,1,1,1,1
I'm about to drink bleach after reading what you typed,1,3,3,1,1,1,3,1,1
Going to smash my computer after that,1,3,3,1,1,1,1,1,1
Fuck white supremacists and fuck anyone defending them,1,5,5,1,1,5,1,1,1
"Don't celebrate too quick, your food was so shit",1,3,3,1,1,1,1,1,1
That shit was racist and unacceptable,1,4,3,1,1,5,1,1,1
this is making me stabby right now,1,3,3,1,1,1,1,1,1
I just saw an ugly avi and almost @ her but I don't wanna seem like a bully,1,3,3,1,1,1,1,1,1
Can men please stop shooting people for a goddamn second?,1,2,2,1,1,3,3,1,1
The boys corn and zucchini fritters are going to kill it!,1,1,1,1,1,1,1,1,1
I'm gonna cyber bully some of my followers! Via the afterlife,1,2,5,1,1,1,3,1,1
If he won't do anything for you kick that nigga to the curb cause its somebody that will waiting for a chance,1,2,3,1,1,4,1,1,1
"Also. It's fascinating how this Sony hack is a crime but rape, welllllll...",1,3,3,3,1,5,1,1,1
There are some annoying idiots in this competition,1,2,3,1,1,2,1,1,1
"And it is impossible to kill ISIS without some collateral damage, since they hide among civilians.",1,1,1,1,1,3,3,1,1
Way to fucking hijack our hashtag for some light misogyny.,1,4,4,1,1,5,1,1,1
"If you think white people are superior, something is wrong with you ",1,3,3,1,1,5,1,1,1
Please go out and punch a fascist today,1,3,3,1,1,5,3,1,1
thanks goodness the internet allows people to bully anonymously. I have no right to confront them about it…,1,3,5,1,1,1,1,1,1
I know the worst feeling for a female gotta be when they break a nail I can just tell that shit hurt like a bitch,1,2,2,1,1,1,1,1,1
He voted for a guy who said he rather have a dead son than a gay one,1,5,5,1,1,5,1,1,1
"almost 2017 & yall still out here using gay as an insult, making rape jokes, &amp; degrading women bc of their sexual history?? thats gotta go.",1,3,3,3,1,3,1,1,1
Because calling gay people fags and reveling in rape jokes and violence isn't free speech or jokes,1,3,3,1,1,5,1,1,1
I hate rape and gay jokes more than anything else in this world,1,3,1,3,1,3,1,1,1
@rikumemes Your work is fucking terrible tbh fuck them,1,5,5,1,1,5,1,1,1
I recorded a video and I look  stupid as hell lmaoo,1,2,1,1,1,1,1,1,1
Benedict Cumberbatch is a damn stupid name. I hope history doesn't remember him fondly. I hope his legacy becomes trash.,1,3,3,1,1,1,1,1,1
